Country,Year,GDP_per_capita,Population,Female_population,Male_population,Life_expectancy,GDP(inflation_adjusted),External_debt,Agriculture(percent_of_GDP),Industry(percent_of_GDP),Service(percent_of_GDP),Imports(percent_of_GDP),Exports(percent_of_GDP),Continent
Maldives,1/1/2006,10157,299419,146520,149991,77.3,977140736,484220000,8.776891544,28.45763556,62.7654729,81.61415069,59.62570327,Asia
Maldives,1/1/2008,12029,307632,150905,154122,78.2,1212071918,986800000,3.770732709,18.41543899,77.8138283,87.80555944,95.34091331,Asia
Mali,1/1/1996,1132,10092753,4916417,4814863,50,1942754935,3006548000,51.84897817,17.89337369,30.25764813,35.75160418,20.03381013,Africa
Mali,1/1/1998,1217,10662517,5110376,4993753,50.3,2199239627,3204775000,46.46933791,17.29300302,36.23765907,35.24657446,24.78636454,Africa
Mali,1/1/2000,1269,11295324,5326459,5196478,51.1,2422469641,2980407000,41.56936179,20.56671018,37.86392804,39.38289036,26.78220132,Africa
Mali,1/1/2002,1397,12001887,5575661,5435344,52.2,2828375518,2827109000,35.03253796,27.54880694,37.4186551,39.22333764,31.87500922,Africa
Mali,1/1/2004,1442,12772264,5850165,5701991,53.5,3105260709,3319770000,36.36816387,23.86921392,39.76262221,37.76377532,25.37520649,Africa
Mali,1/1/2006,1560,13592796,6136336,5981769,54.8,3468639046,1642962000,36.91370176,24.03150466,39.05479358,40.23052327,32.11269483,Africa
Mauritania,1/1/1996,2916,2357678,1158012,1174045,61.4,1202698785,2456541000,36.23662907,25.40163622,38.36173471,68.39221302,55.78221821,Africa
Mauritania,1/1/1998,2711,2495316,1221655,1241715,61.5,1206212447,2390770000,33.60203649,32.0977382,34.30022532,38.99473717,30.85586628,Africa
Mauritania,1/1/2000,2738,2642743,1289474,1314266,61.8,1293653473,2377728000,36.6765304,27.97629941,35.34717019,45.30321854,29.96143443,Africa
Mauritania,1/1/2002,2646,2800333,1361562,1391519,62.1,1328412943,2265796000,35.13362996,26.27390716,38.59246288,42.2672535,28.33830696,Africa
Mauritania,1/1/2004,2792,2964526,1436263,1471496,62.4,1488746515,2323543000,35.52540458,27.31068425,37.16391117,66.60890004,25.64941146,Africa
Mauritania,1/1/2006,3413,3129959,1511068,1551215,63,1928387628,1618184000,22.93542254,46.53130532,30.53327214,51.99249438,47.807779,Africa
Mauritania,1/1/2008,3356,3295254,1585264,1629779,63.6,2028435535,1959674000,18.88178609,40.51260927,40.60560463,81.9249298,58.96263677,Africa
Mauritius,1/1/1996,9471,1150448,573237,569501,70.1,3653963481,1399523000,10.18870875,31.85042761,57.96086364,64.27226626,63.58556983,Africa
Mauritius,1/1/1998,10375,1173451,587166,582297,70.6,4096216243,1281427000,9.257111144,30.87635967,59.86652918,66.51539326,65.68373843,Africa
Mauritius,1/1/2000,11349,1196027,600424,594379,71,4582562398,946251000,6.965765276,30.97125944,62.06297528,61.94434447,61.38569565,Africa
Mauritius,1/1/2002,11711,1220935,613159,606041,71.4,4799834109,902952000,6.288286798,30.60039225,63.11132096,58.78270278,61.81901098,Africa
Mauritius,1/1/2004,12665,1245669,625017,616848,71.8,5261229604,916043000,6.449006474,29.13542457,64.41556896,56.39275043,54.02084255,Africa
Mauritius,1/1/2006,13188,1266684,635711,626318,72.1,5536815245,621863000,5.565796773,27.57178174,66.86242149,72.90787133,61.61466118,Africa
Mauritius,1/1/2008,14615,1283849,645303,634497,72.1,6185513728,625724000,4.089391678,28.09323616,67.81737217,66.09867778,52.93318631,Africa
Mexico,1/1/1996,12979,93858373,47091613,46218836,74,468760936466,156255000000,6.261904063,28.36223059,65.37586534,30.01892695,32.07649964,North America
Mexico,1/1/1998,14033,97001933,48733902,47837053,74.3,525080308658,159188000000,5.266972276,28.61157072,66.121457,32.81413462,30.69435993,North America
Mexico,1/1/2000,14704,99959594,50247269,49283348,75.1,581426421971,150901000000,4.168293097,28.02124016,67.81046674,32.93322023,30.93905966,North America
Mexico,1/1/2002,14243,102634153,51574719,50467764,75.4,585312691416,164537000000,3.944896448,26.48326832,69.57183523,28.63910356,26.82257791,North America
Mexico,1/1/2004,14700,105175967,52770755,51479755,75.6,617269309006,171162000000,3.854046366,34.06905451,62.07689913,28.37370446,26.60531815,North America
Mexico,1/1/2006,15516,107835259,53934899,52475854,75.8,669864782183,162497000000,3.666523289,35.82019691,60.51327981,29.2158214,27.96842049,North America
Mexico,1/1/2008,15826,110627158,55078192,53477288,75.7,699939486221,203984000000,3.648037988,36.73897928,59.61298273,30.2807732,28.04789633,North America
Moldova,1/1/1996,2466,4307683,2248951,2057773,66.7,1375147696,840822000,31.39659271,30.71389839,37.8895089,73.91702078,55.26713093,Europe
Moldova,1/1/1998,2353,4221290,2201977,2015520,68.8,1306335305,1061525000,31.76186036,24.46390206,43.77423757,75.03824922,48.5282925,Europe
Moldova,1/1/2000,2329,4106736,2141675,1958582,69.3,1288420223,1689839000,29.0293824,21.72272144,49.24789616,75.43191132,49.77801408,Europe
Moldova,1/1/2002,2676,3968812,2071300,1889365,70.2,1473640937,1801978000,24.08240094,23.19030685,52.72729221,77.93391748,52.74042712,Europe
Moldova,1/1/2004,3080,3827906,2000812,1818786,70.1,1687306011,1943064000,20.47193218,17.28641795,62.24164987,82.00039245,50.7067987,Europe
Moldova,1/1/2006,3487,3714961,1945296,1763552,69.4,1900665178,2437114000,17.3782666,15.59667763,67.02505577,91.89767336,45.25596575,Europe
Moldova,1/1/2008,3890,3635059,1907119,1726250,69.6,2111088030,3787023000,10.70820139,14.31057364,74.98122497,93.6035296,40.81904378,Europe
Mongolia,1/1/1996,4304,2325369,1143802,1141346,60.8,1015705933,529790000,40.98308157,25.19460953,33.82230889,42.44975006,35.52432564,Asia
Mongolia,1/1/1998,4544,2366895,1172011,1159782,61,1090530936,698608000,35.09476751,24.45973065,40.44550184,59.50769627,47.84351451,Asia
Mongolia,1/1/2000,4655,2411369,1205090,1184107,61.4,1136896162,885317000,30.87545764,24.99098483,44.13355753,67.88985829,53.99675147,Asia
Mongolia,1/1/2002,4925,2458853,1237881,1213613,61.8,1225863291,994621000,21.49947726,25.55127273,52.94925001,67.79063714,50.72661598,Asia
Mongolia,1/1/2004,5706,2514462,1271006,1246442,62,1451107229,1350894000,22.60746796,31.97975496,45.41277708,70.54154332,60.78777492,Asia
Mongolia,1/1/2006,6480,2584143,1303395,1277697,62.5,1689531996,1394244000,19.61759812,43.0214329,37.36096898,53.48671802,59.44326508,Asia
Mongolia,1/1/2008,7563,2667474,1334534,1306682,63.2,2028460486,1721353000,21.41278009,34.37950311,44.2077168,67.18097748,54.01703592,Asia
Montenegro,1/1/2006,12025,627074,316355,305058,74,1227907722,849988000,10.16626168,20.41587956,69.41785877,78.79661425,48.45260528,Europe
Montenegro,1/1/2008,14183,629185,316824,305520,74.6,1453085123,1490108000,9.307104279,21.14853799,69.54435773,94.09854262,38.83374024,Europe
Morocco,1/1/1996,4325,27323664,13764450,13581427,70.1,34437705756,24221060000,19.59844282,31.5183502,48.88320698,30.18627806,26.28128407,Africa
Morocco,1/1/1998,4448,28082684,14177137,13932339,70.7,36248368734,23647905000,20.22331123,27.70937262,52.06731616,28.10541514,24.41172262,Africa
Morocco,1/1/2000,4430,28793236,14569808,14257307,71.3,37020609825,20673600000,14.94414646,29.1053422,55.95051134,33.35138199,27.98228689,Africa
Morocco,1/1/2002,4815,29453931,14938862,14556516,71.8,41136714248,17983957000,16.53743832,27.33350008,56.1290616,32.26035301,30.15158522,Africa
Morocco,1/1/2004,5259,30082152,15300472,14851317,72.2,45835417945,16882704000,16.31842176,28.52218245,55.15939579,34.32412899,29.37041474,Africa
